File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_WT3_25-023.raw	45848	3257	7.25072e+10	7841072807007	894266896922	2.49	0.046	0.919808	0.609376	2.07482	1.24953	0.149388	0.0109424	12.609	2.441	0.16
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_bisC1_25-023.raw	43815	3239	3.63512e+10	3668854101823	473127067020	2.395	0.045	0.845165	0.559323	1.98464	1.20121	0.101754	0.0156117	12.546	2.428	0.156
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_bisC2_25-023.raw	44528	3238	5.79116e+10	6808434822040	740318809727	2.447	0.045	0.921106	0.601552	1.48797	1.21317	0.0768878	0.0113728	12.567	2.429	0.157
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_bisC3_25-023.raw	47524	3279	7.97701e+10	9309852838935	979170199053	2.494	0.046	0.969226	0.648109	1.55383	1.24406	0.200562	0.0131741	12.651	2.443	0.177
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrA1_25-023.raw	46409	3284	1.03834e+11	12336493117315	1278077259434	2.529	0.047	1.04912	0.646956	2.09665	1.31157	0.204403	0.0167859	12.629	2.441	0.158
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrA2_25-023.raw	44548	3195	6.4012e+10	6947791299291	810850173095	2.48	0.046	0.883675	0.594276	1.67001	1.24913	0.107553	0.0112783	12.618	2.444	0.157
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrA3_25-023.raw	46173	3269	6.78669e+10	7314663009080	826698390591	2.494	0.046	0.949991	0.617068	1.85754	1.27154	0.193115	0.0114611	12.637	2.447	0.166
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrB1_25-023.raw	46362	3238	5.39894e+10	5554645671821	660291774198	2.479	0.046	0.843009	0.577231	1.94409	1.25268	0.128347	0.0119097	12.659	2.449	0.167
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrB2_25-023.raw	44156	3235	4.65438e+10	4952651820527	606608396157	2.445	0.045	0.836521	0.543819	2.78043	1.15664	0.0826437	0.0126991	12.589	2.436	0.153
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrB3_25-023.raw	45642	3254	4.57507e+10	4501795790485	560024117559	2.427	0.045	0.867009	0.69575	1.28031	1.26341	0.115476	0.0134257	12.608	2.442	0.168
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrC1_25-023.raw	46778	3274	5.97786e+10	6466196205554	691366299625	2.465	0.046	0.971178	0.609869	1.93218	1.25021	0.166778	0.011261	12.628	2.44	0.164
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrC2_25-023.raw	33052	2873	3.80354e+09	482987850790	72499490680	2.121	0.04	0.79881	0.416492	3.10503	1.27909	0.181131	0.0220236	12.504	2.44	0.161
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrC3_25-023.raw	47577	3291	7.95e+10	9202280079574	928178028980	2.509	0.046	1.1092	0.643313	2.10341	1.21904	0.180627	0.0102093	12.654	2.442	0.168
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_WT1_25-023.raw	44709	3262	6.1014e+10	6521938502967	736713322845	2.484	0.046	0.926128	0.55151	2.01423	1.23732	0.0842223	0.0115723	12.624	2.444	0.158
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_WT2_25-023.raw	45822	3221	7.75187e+10	8322975808301	1004219560513	2.536	0.047	0.962325	0.64942	2.00318	1.29242	0.179136	0.012121	12.625	2.443	0.164
